発地コード,発地名,着地コード,着地名,品目コード,品目名称,重量（発→着）,重量（着→発）,トラック台数（発→着）,トラック台数（着→発）
13,東京都,24,三重県,1,農水産品・食料工業品,9.504232572,27.45005893,0,0
13,東京都,25,滋賀県,1,農水産品・食料工業品,58.54954591,59.43809524,0,0
13,東京都,26,京都府,1,農水産品・食料工業品,103.3510898,86.9824679,3.529411765,10.11229947
13,東京都,27,大阪府,1,農水産品・食料工業品,1187.616063,546.2129623,155.6965495,50.63745098
13,東京都,28,兵庫県,1,農水産品・食料工業品,537.4908231,518.4969117,14.625,17.59969697
13,東京都,29,奈良県,1,農水産品・食料工業品,42.6296828,92.42284382,0,12.4
13,東京都,30,和歌山県,1,農水産品・食料工業品,4.910060174,287.3293846,0,0
13,東京都,31,鳥取県,1,農水産品・食料工業品,3.077420123,6.246100866,0,0
13,東京都,32,島根県,1,農水産品・食料工業品,1.561829611,0.378857143,0,0
13,東京都,33,岡山県,1,農水産品・食料工業品,33.90989844,1879.859615,0,12.46
13,東京都,34,広島県,1,農水産品・食料工業品,86.32902112,25.52083942,0,7.963333333
13,東京都,35,山口県,1,農水産品・食料工業品,24.08275703,95.03752747,0,0
13,東京都,36,徳島県,1,農水産品・食料工業品,58.06989123,240.8093894,0,0
13,東京都,37,香川県,1,農水産品・食料工業品,10.3546955,28.00963394,0,6.23
13,東京都,38,愛媛県,1,農水産品・食料工業品,1.747165323,12.9370201,0,0
13,東京都,39,高知県,1,農水産品・食料工業品,11.39671685,9.797459783,0,0
13,東京都,40,福岡県,1,農水産品・食料工業品,194.1009523,303.8054071,0,2.125
13,東京都,41,佐賀県,1,農水産品・食料工業品,116.5557727,115.6731795,6.23,18.69
13,東京都,42,長崎県,1,農水産品・食料工業品,5.221332772,95.90299184,6.23,1.733333333
13,東京都,43,熊本県,1,農水産品・食料工業品,15.92628664,63.45686393,0,4.818181818
13,東京都,44,大分県,1,農水産品・食料工業品,3.613370968,193.4272727,0,19.27272727
13,東京都,45,宮崎県,1,農水産品・食料工業品,5.235153846,381.4541126,0,44.77545455
13,東京都,46,鹿児島県,1,農水産品・食料工業品,16.23678893,553.5782131,0,17.27818182
13,東京都,47,沖縄県,1,農水産品・食料工業品,282.9545858,31.86353214,6.23,6.23
13,東京都,90,全国,1,農水産品・食料工業品,1325.995138,2603.54259,32.38884462,211.375
13,東京都,92,東北,1,農水産品・食料工業品,81.43113597,1450.61235,0,96.79245283
13,東京都,93,海外,1,農水産品・食料工業品,518.6291811,7798.313927,6.933333333,8.335483871
13,東京都,94,不特定,1,農水産品・食料工業品,7383.260925,433.3333333,86.66666667,52
13,東京都,99,全て不明,1,農水産品・食料工業品,2241.91921,324.5680579,420.1415094,0
14,神奈川県,01,北海道,1,農水産品・食料工業品,1233.501426,3269.204274,25.59789721,26.77777778
14,神奈川県,02,青森県,1,農水産品・食料工業品,91.78119809,162.1207991,0,6.4
14,神奈川県,03,岩手県,1,農水産品・食料工業品,137.871876,122.0432162,0,0
14,神奈川県,04,宮城県,1,農水産品・食料工業品,1114.099225,552.3120076,44.79885058,45.10823137
14,神奈川県,05,秋田県,1,農水産品・食料工業品,149.0415002,67.69506728,0,0
14,神奈川県,06,山形県,1,農水産品・食料工業品,290.9608531,191.110539,0,11.24731183
14,神奈川県,07,福島県,1,農水産品・食料工業品,344.9506016,368.9250752,11.69033131,0
14,神奈川県,08,茨城県,1,農水産品・食料工業品,5544.43994,22965.26179,149.8661658,757.0194499
14,神奈川県,09,栃木県,1,農水産品・食料工業品,513.0832812,1207.608925,18.81154307,77.85437629
14,神奈川県,10,群馬県,1,農水産品・食料工業品,1357.01812,987.9036131,35.8948764,95.3211857
14,神奈川県,11,埼玉県,1,農水産品・食料工業品,12167.99969,11326.16861,1306.825004,2572.112621
14,神奈川県,12,千葉県,1,農水産品・食料工業品,7186.286998,7300.571454,439.4965304,710.5647011
14,神奈川県,13,東京都,1,農水産品・食料工業品,29053.73094,9594.596904,3131.916764,1102.930791
14,神奈川県,14,神奈川県,1,農水産品・食料工業品,80557.53391,80557.53391,13288.51213,13288.51213
14,神奈川県,15,新潟県,1,農水産品・食料工業品,444.6870777,580.1815606,20.24603914,16
14,神奈川県,16,富山県,1,農水産品・食料工業品,128.5119804,506.6193227,0,0
14,神奈川県,17,石川県,1,農水産品・食料工業品,96.01050293,0.123095238,6.938697318,0
14,神奈川県,18,福井県,1,農水産品・食料工業品,57.93883674,0.02811828,0,0
14,神奈川県,19,山梨県,1,農水産品・食料工業品,1002.117112,928.7918593,91.87615689,18.0956767
14,神奈川県,20,長野県,1,農水産品・食料工業品,1079.420301,717.9101107,23.84550372,12.8
14,神奈川県,21,岐阜県,1,農水産品・食料工業品,101.7591913,196.9420595,0,0
14,神奈川県,22,静岡県,1,農水産品・食料工業品,3500.365165,2511.354048,404.476356,80.20282596
14,神奈川県,23,愛知県,1,農水産品・食料工業品,1718.553904,1438.640022,120.5299473,50.35947349
14,神奈川県,24,三重県,1,農水産品・食料工業品,20.97417091,77.72458492,0,0
14,神奈川県,25,滋賀県,1,農水産品・食料工業品,261.3747478,284.8765219,29.83811948,13.5212799
14,神奈川県,26,京都府,1,農水産品・食料工業品,140.7236108,40.61833938,0,16.87096774
14,神奈川県,27,大阪府,1,農水産品・食料工業品,2470.474243,267.4393587,56.0776789,50.35947349
14,神奈川県,28,兵庫県,1,農水産品・食料工業品,879.1983201,372.3913638,11.31034483,5.655172414
14,神奈川県,29,奈良県,1,農水産品・食料工業品,1.238521303,86.4,0,0
14,神奈川県,30,和歌山県,1,農水産品・食料工業品,0,113.0549649,0,0
14,神奈川県,31,鳥取県,1,農水産品・食料工業品,2.6505,5,0,0
