scenario_depot_id,hub_id,facility_name,facility_major_type_code,facility_major_type,address_or_municipality,longitude,latitude,depot_priority_rank,scenario_role,selection_rule,limitation
DEP_084,P31_13_0075,(株)上組　　東京コンテナターミナル,4,bonded_area_or_warehouse,江東区青海3丁目地先中央防波堤内側埋立地,139.793481,35.599924,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_085,P31_13_0076,(株)上組　東京多目的物流センター,4,bonded_area_or_warehouse,江東区青海3丁目地先中央防波堤内側埋立地,139.794448,35.599867,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_086,P31_13_0077,(株)上組　ワールド流通センター,4,bonded_area_or_warehouse,江東区青海3-2-17,139.785341,35.611052,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_087,P31_13_0078,川崎陸送(株)　葛西,4,bonded_area_or_warehouse,江戸川区臨海町3-5-1,139.86814,35.647716,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_088,P31_13_0079,共栄商事(株)　葛西,4,bonded_area_or_warehouse,江戸川区臨海町3-5-1,139.866257,35.648445,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_089,P31_13_0080,(株)極洋　葛西物流,4,bonded_area_or_warehouse,江戸川区臨海町3-3-2,139.863993,35.651768,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_090,P31_13_0081,楠原輸送(株)　ワールド流通センター,4,bonded_area_or_warehouse,江東区青海3-2-17,139.785397,35.611197,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_091,P31_13_0082,栗林運輸(株)　お台場,4,bonded_area_or_warehouse,江東区青海4-2-47,139.785501,35.617509,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_092,P31_13_0083,栗林運輸(株)　お台場,4,bonded_area_or_warehouse,江東区青海4-2-36,139.786833,35.615915,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
DEP_093,P31_13_0084,栗林運輸(株)　お台場,4,bonded_area_or_warehouse,江東区青海4-3-15,139.784811,35.616537,2,eligible_depot_candidate,"mainland_tokyo_proxy == True and facility_major_type_code in {3,4,5}",Public logistics-facility proxy; not an observed operator depot.
