mesh_code,total_population,total_households,htksyori,htksaki
533933343,2560,1157,0,
533933344,1795,911,0,
533933351,492,253,0,
533933352,224,132,0,
533933353,2285,1046,0,
533933354,1273,625,0,
533933381,214,66,0,
533933382,2207,1270,0,
533933383,455,62,0,
533933384,1333,548,0,
533933391,2818,1384,0,
533933392,1432,691,0,
533933393,767,300,0,
533933394,60,30,0,
533933401,2107,820,0,
533933402,1650,1063,0,
533933403,2767,1288,0,
533933404,937,355,0,
533933411,1968,917,0,
533933412,2292,1094,0,
533933413,2591,1094,0,
533933414,3618,1620,0,
533933421,500,238,0,
533933422,308,124,0,
533933423,2962,1238,0,
533933424,426,83,0,
533933431,2697,1165,0,
533933432,4761,1684,0,
533933433,2681,1211,0,
533933434,1663,769,0,
533933441,1769,846,0,
533933442,3541,1569,0,
533933443,2059,951,0,
533933444,2329,1045,0,
533933451,2231,960,0,
533933452,2657,1214,0,
533933453,2519,1031,0,
533933454,2772,1529,0,
533933461,1380,790,0,
533933463,2547,1257,0,
533933464,989,598,0,
533933472,400,163,0,
533933473,684,55,0,
533933474,3251,1160,0,
533933481,71,41,0,
533933482,333,118,0,
533933483,3246,1124,0,
533933484,261,128,0,
533933491,110,53,0,
533933493,186,73,0,
533933501,957,551,0,
533933502,1558,934,0,
533933503,1163,544,0,
533933504,953,437,0,
533933511,3152,1758,0,
533933512,1733,1112,0,
533933513,1992,762,0,
533933514,1878,654,0,
533933521,3651,2119,0,
533933522,1419,667,0,
533933523,2307,1245,0,
533933524,2315,1545,0,
533933531,2062,813,0,
533933532,975,593,0,
533933533,1456,759,0,
533933534,2130,967,0,
533933541,2291,1244,0,
533933542,1798,778,0,
533933543,2728,1371,0,
533933544,2107,1039,0,
533933551,2008,926,0,
533933552,1897,926,0,
533933553,2460,1344,0,
533933554,2407,1247,0,
533933561,3595,1555,0,
533933562,1447,597,0,
533933563,3727,1765,0,
533933564,2482,979,0,
533933571,1107,379,0,
533933572,2464,834,0,
533933573,1392,529,0,
533933574,239,71,0,
533933581,1351,475,0,
533933582,663,286,0,
533933583,1574,638,0,
533933584,2242,795,0,
533933591,474,186,0,
533933593,436,196,0,
533933594,14,7,0,
533933601,1317,572,0,
533933602,113,49,0,
