ocm_id,connection_id,station_title,latitude,longitude,connection_type,level,current_type,quantity,power_kw,voltage,amps,is_fast_charger_proxy,operator,usage_type,status_type,source,downloaded_at
17081,17322,東京日産自動車販売新車のひろば三鷹店,35.68163985,139.5572524,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17091,17332,東京日産自動車販売新車の広場村山店,35.74601892,139.3894578,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17099,17340,東京日産自動車販売荒川店,35.73361608,139.7873031,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17721,17962,東京海洋大学（越中島キャンパス）,35.66865643,139.7908586,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62640,79562,東京湾岸道路,35.546951,139.790527,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17733,17974,東京都東銀座駐車場,35.66739221,139.7643969,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17708,17949,東電池,35.73617983,139.795094,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17696,17937,檜原村役場,35.72695563,139.1487259,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17697,17938,檜原温泉センター数馬の湯,35.72407373,139.05372,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17722,17963,江東区役所,35.67275645,139.817309,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62642,79564,海岸通り,35.643322,139.756592,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
62642,95266,海岸通り,35.643322,139.756592,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17103,17344,港三菱港中央本店,35.6495829,139.7584316,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62650,79572,環八通り,35.74485,139.629562,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17736,17977,町田リサイクル文化センター,35.58653358,139.4113661,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17735,17976,町田市役所中町第３庁舎,35.54716337,139.4446901,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62647,79569,立川南通り,35.692211,139.42099,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
62643,79565,第一京浜,35.647057,139.748703,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17701,17942,羽田空港Ｐ４立体駐車場,35.54952745,139.7882393,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17734,17975,舎人駐車場,35.80611617,139.7592771,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17705,17946,葛飾区地域産業振興会館（テクノプラザかつしか）,35.75247076,139.8525385,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17704,17945,葛飾区役所総合庁舎,35.74345496,139.8472421,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
55155,69737,虎ノ門2丁目タワー,35.6684472,139.74666049999996,Unknown,Level 2 : Medium (Over 2kW),AC (Single-Phase),,,,75,no,Tesla (Tesla-only charging),Public,Operational,Open Charge Map,2026-07-05
17723,17964,錦糸町パークタワー,35.69414299,139.8140388,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17108,17349,関東三菱世田谷店・クリーンカー世田谷,35.63292956,139.6246462,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17094,17335,関東三菱久が原店,35.57866722,139.6983509,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17085,17326,関東三菱八王子北野店・クリーンカー八王子北野,35.6531421,139.3531456,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17114,17355,関東三菱東久留米店・クリーンカー東久留米,35.73909118,139.5085815,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17106,17347,関東三菱江東店,35.67595607,139.8152868,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17095,17336,関東三菱目黒店,35.62645361,139.6897883,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17088,17329,関東三菱立川店,35.69199698,139.3930544,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17097,17338,関東三菱葛飾店・クリーンカー葛飾,35.76264487,139.8642426,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17082,17323,関東三菱調布店・クリーンカー調布,35.65618674,139.5416882,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17111,17352,関東三菱高井戸店・クリーンカー高井戸,35.68621552,139.6235744,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
62644,79566,首都高速1号上野線,35.683239,139.778061,CHAdeMO,Level 3:  High (Over 40kW),DC,,50,,,yes,Stadtwerke Clausthal-Zellerfeld,,Operational,Open Charge Map,2026-07-05
17732,17973,高井戸北駐車場,35.69069546,139.6164415,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17089,17330,ＥＮＥＯＳ　オートジョイセルフ河辺ＳＳ,35.78532126,139.2873089,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17079,17320,ＥＮＥＯＳ　ＤＤセルフ府中栄町店,35.68835997,139.4783142,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17113,17354,ＥＮＥＯＳ　ＤＤセルフ環七豊玉店,35.73158629,139.6592666,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17084,17325,ＥＮＥＯＳ　ＤＤセルフ町田木曽店,35.57209074,139.4149553,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17098,17339,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅセルフ保木間ＳＳ,35.797104,139.8023378,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17080,17321,ＥＮＥＯＳ　Ｄｒ．Ｄｒｉｖｅセルフ西東京店,35.74046688,139.5567219,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17107,17348,ＥＮＥＯＳ　Ｖａｌｕｅ５東京インター店,35.62588868,139.6266936,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
17703,17944,ＮＴＴル・パルク東五反田第２駐車場,35.63245359,139.7252296,CHAdeMO,Level 2 : Medium (Over 2kW),,1,48,480,100,no,,,,Open Charge Map,2026-07-05
