origin_code,origin_name_ja,destination_code,destination_name_ja,commodity_code,commodity_ja,weight_origin_to_destination_tons_per_day,weight_destination_to_origin_tons_per_day,trucks_origin_to_destination_per_day,trucks_destination_to_origin_per_day,commodity_en,tokyo_direction,tokyo_counterpart_region_code,tokyo_counterpart_region_name_ja,tokyo_outbound_weight_tons_per_day,tokyo_inbound_weight_tons_per_day,tokyo_outbound_trucks_per_day,tokyo_inbound_trucks_per_day
94,不特定,13,東京都,1,農水産品・食料工業品,433.3333333,7383.260925,52.0,86.66666667,"Agricultural, marine, and food products",Tokyo inbound,94,不特定,7383.260925,433.3333333,86.66666667,52.0
99,全て不明,13,東京都,1,農水産品・食料工業品,324.5680579,2241.91921,0.0,420.1415094,"Agricultural, marine, and food products",Tokyo inbound,99,全て不明,2241.91921,324.5680579,420.1415094,0.0
1,北海道,13,東京都,2,出版・印刷物,0.340100155,1.541600396,0.0,0.0,,Tokyo inbound,1,北海道,1.541600396,0.340100155,0.0,0.0
2,青森県,13,東京都,2,出版・印刷物,62.5,0.894179105,0.0,0.0,,Tokyo inbound,2,青森県,0.894179105,62.5,0.0,0.0
3,岩手県,13,東京都,2,出版・印刷物,0.0,46.13837351,0.0,12.58252427,,Tokyo inbound,3,岩手県,46.13837351,0.0,12.58252427,0.0
4,宮城県,13,東京都,2,出版・印刷物,0.259706628,33.83841277,0.0,4.194174757,,Tokyo inbound,4,宮城県,33.83841277,0.259706628,4.194174757,0.0
5,秋田県,13,東京都,2,出版・印刷物,5.5,0.032845771,0.0,0.0,,Tokyo inbound,5,秋田県,0.032845771,5.5,0.0,0.0
6,山形県,13,東京都,2,出版・印刷物,0.141441299,47.55434741,0.0,5.5,,Tokyo inbound,6,山形県,47.55434741,0.141441299,5.5,0.0
7,福島県,13,東京都,2,出版・印刷物,278.7956224,0.728435628,12.46,12.46,,Tokyo inbound,7,福島県,0.728435628,278.7956224,12.46,12.46
8,茨城県,13,東京都,2,出版・印刷物,608.6501848,18.51934367,88.84911381,12.0,,Tokyo inbound,8,茨城県,18.51934367,608.6501848,12.0,88.84911381
9,栃木県,13,東京都,2,出版・印刷物,9.716255639,14.24489966,0.0,6.894422311,,Tokyo inbound,9,栃木県,14.24489966,9.716255639,6.894422311,0.0
10,群馬県,13,東京都,2,出版・印刷物,0.015652174,38.69843502,6.23,6.23,,Tokyo inbound,10,群馬県,38.69843502,0.015652174,6.23,6.23
11,埼玉県,13,東京都,2,出版・印刷物,4113.94915,4328.548975,2161.852863,625.2085445,,Tokyo inbound,11,埼玉県,4328.548975,4113.94915,625.2085445,2161.852863
12,千葉県,13,東京都,2,出版・印刷物,248.3741414,318.6327226,347.004606,388.4097522,,Tokyo inbound,12,千葉県,318.6327226,248.3741414,388.4097522,347.004606
13,東京都,1,北海道,2,出版・印刷物,1.541600396,0.340100155,0.0,0.0,,Tokyo outbound,1,北海道,1.541600396,0.340100155,0.0,0.0
13,東京都,2,青森県,2,出版・印刷物,0.894179105,62.5,0.0,0.0,,Tokyo outbound,2,青森県,0.894179105,62.5,0.0,0.0
13,東京都,3,岩手県,2,出版・印刷物,46.13837351,0.0,12.58252427,0.0,,Tokyo outbound,3,岩手県,46.13837351,0.0,12.58252427,0.0
13,東京都,4,宮城県,2,出版・印刷物,33.83841277,0.259706628,4.194174757,0.0,,Tokyo outbound,4,宮城県,33.83841277,0.259706628,4.194174757,0.0
13,東京都,5,秋田県,2,出版・印刷物,0.032845771,5.5,0.0,0.0,,Tokyo outbound,5,秋田県,0.032845771,5.5,0.0,0.0
