ocm_id,uuid,title,address_line_1,town,state_or_province,postcode,latitude,longitude,operator,usage_type,status_type,data_provider,connection_count,connection_types,max_power_kw,has_power_kw,is_fast_charger_proxy,date_last_verified,date_last_status_update,date_created,source,downloaded_at,boundary_filter
17083,19ED31EF-2D80-4A71-8225-23CC9529689F,日産プリンス西東京販売久留米店,東京都東久留米市前沢5-31-10,,,,35.73983276,139.5076844,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17124,FEE95832-B611-4C22-B96F-C5C33F170F8A,日産プリンス西東京販売八王子高倉店,東京都八王子市高倉町41番地7,,,,35.66745472,139.3681909,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17087,B126B824-6AC7-4938-A735-40E892E89019,日産プリンス西東京販売多摩センター店,東京都多摩市愛宕4-18-16,,,,35.62756278,139.4261407,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17123,7B07E717-7D06-440D-B000-FE0B0091AD1D,日産プリンス西東京販売府中店,東京都府中市若松町2-3-22,,,,35.67065665,139.4982911,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17125,BC56AEAC-CA69-4091-9517-65B35E0A2330,日産プリンス西東京販売忠生公園店,東京都町田市忠生1-1-3,,,,35.57174645,139.4215159,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17090,263E393E-C5C0-475D-B81D-FDD5E3348129,日産プリンス西東京販売拝島橋店,東京都昭島市田中町4-1-1,,,,35.69985647,139.3482689,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17126,B4C3F79B-D8DA-40D0-9F19-F94A5AC4B471,日産プリンス西東京販売東大和店,東京都東大和市立野1-1004,,,,35.74616947,139.421919,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17127,D81B5388-B3A6-4646-8300-0F7097438709,日産プリンス西東京販売立川店,東京都立川市錦町5丁目17番11号,,,,35.68872551,139.4157805,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17122,3640BD3D-D2BC-4088-9628-B84505818745,日産プリンス西東京販売調布多摩川店,東京都調布市多摩川3-40-1,,,,35.64593484,139.5293563,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,2013-06-29T08:54:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
17092,0251C8F5-AD84-4E56-81CD-F4F33ECB4D15,日産プリンス西東京販売青梅新町店,東京都青梅市新町9丁目2203-2,,,,35.78214999,139.3224422,,,,CHAdeMO.com,1,CHAdeMO,48.0,yes,no,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,2013-06-29T08:53:00Z,Open Charge Map,2026-07-05,N03 Tokyo boundary polygon
