base_route_proxy_id,customer_count,vehicle_count,seed,route_proxy_distance_km
C025_V05_S038_R02,25,5,38,75.6578575647057
C025_V05_S038_R03,25,5,38,33.49331866928985
C025_V05_S038_R04,25,5,38,47.907015538347686
C025_V05_S038_R05,25,5,38,24.78988569028417
C025_V01_S039_R01,25,1,39,227.3681415156489
C025_V03_S039_R01,25,3,39,73.52185932682711
C025_V03_S039_R02,25,3,39,89.31713451944259
C025_V03_S039_R03,25,3,39,77.04345358342322
C025_V05_S039_R01,25,5,39,36.09504297154689
C025_V05_S039_R02,25,5,39,77.04345358342322
C025_V05_S039_R03,25,5,39,64.93951933388544
C025_V05_S039_R04,25,5,39,60.84418828936221
C025_V05_S039_R05,25,5,39,55.139449930765224
C025_V01_S040_R01,25,1,40,207.00216506258928
C025_V03_S040_R01,25,3,40,105.66479931220316
C025_V03_S040_R02,25,3,40,118.1125394157685
C025_V03_S040_R03,25,3,40,39.79146705479389
C025_V05_S040_R01,25,5,40,90.25457342298822
C025_V05_S040_R02,25,5,40,64.89108908306682
C025_V05_S040_R03,25,5,40,39.79146705479389
C025_V05_S040_R04,25,5,40,67.14544266951532
C025_V05_S040_R05,25,5,40,66.76606175186954
C025_V01_S041_R01,25,1,41,254.2275359896671
C025_V03_S041_R01,25,3,41,82.86885089058609
C025_V03_S041_R02,25,3,41,111.00335781339598
C025_V03_S041_R03,25,3,41,92.6425645332072
C025_V05_S041_R01,25,5,41,82.86885089058609
C025_V05_S041_R02,25,5,41,104.59923182409324
C025_V05_S041_R03,25,5,41,52.92078774426686
C025_V05_S041_R04,25,5,41,47.15605130803696
C025_V05_S041_R05,25,5,41,48.41793998561083
C025_V01_S042_R01,25,1,42,217.7634668628448
C025_V03_S042_R01,25,3,42,95.7235880967496
C025_V03_S042_R02,25,3,42,107.9828668857466
C025_V03_S042_R03,25,3,42,80.20868020919593
C025_V05_S042_R01,25,5,42,42.64644836025147
C025_V05_S042_R02,25,5,42,74.75593507561656
C025_V05_S042_R03,25,5,42,78.71743588664509
C025_V05_S042_R04,25,5,42,80.20868020919593
C025_V05_S042_R05,25,5,42,69.28223568720963
C025_V01_S043_R01,25,1,43,269.21379388041936
C025_V03_S043_R01,25,3,43,111.54163577837193
C025_V03_S043_R02,25,3,43,85.25740262805385
C025_V03_S043_R03,25,3,43,87.11101986036343
C025_V05_S043_R01,25,5,43,34.99677066840865
C025_V05_S043_R02,25,5,43,64.42566390627623
C025_V05_S043_R03,25,5,43,75.41665923236368
C025_V05_S043_R04,25,5,43,94.67327884551808
C025_V05_S043_R05,25,5,43,47.79677158804991
C025_V01_S044_R01,25,1,44,249.75454886849116
C025_V03_S044_R01,25,3,44,66.53951545493733
C025_V03_S044_R02,25,3,44,95.5700801444697
C025_V03_S044_R03,25,3,44,122.37386356315956
C025_V05_S044_R01,25,5,44,40.76505432461155
C025_V05_S044_R02,25,5,44,106.9611224747298
C025_V05_S044_R03,25,5,44,66.53951545493733
C025_V05_S044_R04,25,5,44,33.994568804650655
C025_V05_S044_R05,25,5,44,44.711350515591015
C025_V01_S045_R01,25,1,45,260.1318966524338
C025_V03_S045_R01,25,3,45,97.45238525348483
C025_V03_S045_R02,25,3,45,76.94584843362267
C025_V03_S045_R03,25,3,45,119.94188308323383
C025_V05_S045_R01,25,5,45,48.83600203990752
C025_V05_S045_R02,25,5,45,81.7274351765854
C025_V05_S045_R03,25,5,45,85.35580719856773
C025_V05_S045_R04,25,5,45,46.174891353093166
C025_V05_S045_R05,25,5,45,77.51570502687076
C025_V01_S046_R01,25,1,46,220.09471836786707
C025_V03_S046_R01,25,3,46,119.16125664084596
C025_V03_S046_R02,25,3,46,52.14951421349282
C025_V03_S046_R03,25,3,46,91.35431166181294
C025_V05_S046_R01,25,5,46,83.76526598289135
C025_V05_S046_R02,25,5,46,52.14951421349282
C025_V05_S046_R03,25,5,46,77.13843060594834
C025_V05_S046_R04,25,5,46,74.08385464673214
C025_V05_S046_R05,25,5,46,48.46960473543031
C025_V01_S047_R01,25,1,47,224.40858542451525
C025_V03_S047_R01,25,3,47,67.20590919733331
C025_V03_S047_R02,25,3,47,98.75688392696188
C025_V03_S047_R03,25,3,47,82.22016563616145
C025_V05_S047_R01,25,5,47,30.74184013784441
C025_V05_S047_R02,25,5,47,72.55070242104624
C025_V05_S047_R03,25,5,47,82.22016563616145
C025_V05_S047_R04,25,5,47,48.415378783959795
C025_V05_S047_R05,25,5,47,74.14485659058201
C025_V01_S048_R01,25,1,48,214.18105445134807
C025_V03_S048_R01,25,3,48,97.19246948908832
C025_V03_S048_R02,25,3,48,100.51420199270515
C025_V03_S048_R03,25,3,48,94.81159400224904
C025_V05_S048_R01,25,5,48,44.36013268970035
C025_V05_S048_R02,25,5,48,88.13275714486275
C025_V05_S048_R03,25,5,48,70.35449085858794
C025_V05_S048_R04,25,5,48,71.0508837569505
C025_V05_S048_R05,25,5,48,87.46214561597341
C025_V01_S049_R01,25,1,49,223.3628991044011
C025_V03_S049_R01,25,3,49,98.6282464278756
C025_V03_S049_R02,25,3,49,97.7717351412937
C025_V03_S049_R03,25,3,49,72.17538482912742
C025_V05_S049_R01,25,5,49,39.62703863198988
C025_V05_S049_R02,25,5,49,88.2641664834
C025_V05_S049_R03,25,5,49,72.17538482912742
C025_V05_S049_R04,25,5,49,49.56588792661413
C025_V05_S049_R05,25,5,49,55.04783349336584
C025_V01_S050_R01,25,1,50,258.88668620938796
C025_V03_S050_R01,25,3,50,99.12442076621032
C025_V03_S050_R02,25,3,50,103.40367609663552
C025_V03_S050_R03,25,3,50,73.33361275852215
C025_V05_S050_R01,25,5,50,52.405580785828114
C025_V05_S050_R02,25,5,50,55.589010468422174
C025_V05_S050_R03,25,5,50,87.81596423961666
C025_V05_S050_R04,25,5,50,50.51190289481616
C025_V05_S050_R05,25,5,50,78.53206079726986
C025_V01_S051_R01,25,1,51,193.31855476302547
C025_V03_S051_R01,25,3,51,88.23500125716922
C025_V03_S051_R02,25,3,51,55.53287006703635
C025_V03_S051_R03,25,3,51,78.01845722833994
C025_V05_S051_R01,25,5,51,38.280076802496914
C025_V05_S051_R02,25,5,51,55.53287006703635
C025_V05_S051_R03,25,5,51,42.25774356201586
C025_V05_S051_R04,25,5,51,30.62350129249893
C025_V05_S051_R05,25,5,51,64.53292314720572
C025_V01_S052_R01,25,1,52,215.1394729421267
C025_V03_S052_R01,25,3,52,66.12880226737634
C025_V03_S052_R02,25,3,52,100.70685459078392
C025_V03_S052_R03,25,3,52,91.8490337035399
C025_V05_S052_R01,25,5,52,91.8490337035399
C025_V05_S052_R02,25,5,52,95.07880853428888
C025_V05_S052_R03,25,5,52,50.58378982360459
C025_V05_S052_R04,25,5,52,21.59621468298952
C025_V05_S052_R05,25,5,52,45.2007885581454
C025_V01_S053_R01,25,1,53,264.37391016160876
C025_V03_S053_R01,25,3,53,39.79435181630051
C025_V03_S053_R02,25,3,53,139.67065119571612
C025_V03_S053_R03,25,3,53,85.74353227435321
C025_V05_S053_R01,25,5,53,51.96836821715273
C025_V05_S053_R02,25,5,53,88.70406234302723
C025_V05_S053_R03,25,5,53,54.96723547145297
C025_V05_S053_R04,25,5,53,67.90513657489073
