scenario_id,seed,constraint_name,case_unmet_rate
C025_V01_CHG_conservative_SPEED25_T480,33,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,33,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,33,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,33,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,33,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,33,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,33,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,34,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,34,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,34,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,34,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,34,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,34,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,34,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,34,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,34,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,35,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,35,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,35,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,35,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,35,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,35,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,35,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,35,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,35,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,36,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,36,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,36,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,36,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,36,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,36,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,36,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,36,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,36,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,37,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,37,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,37,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,37,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,37,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,37,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,37,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,37,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,37,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,38,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,38,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,38,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,38,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,38,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,38,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,38,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,38,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,38,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,39,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,39,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,39,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,39,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,39,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,39,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,39,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,39,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,39,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,40,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,40,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,40,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,40,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,40,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,40,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,40,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,40,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,40,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,41,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,41,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,41,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,41,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,41,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,41,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,41,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,41,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,41,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,42,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,42,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,42,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,42,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,42,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,42,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,42,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,42,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,42,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,43,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,43,Payload capacity,0.0
C025_V01_CHG_conservative_SPEED25_T480,43,Payload capacity,0.0
C025_V03_CHG_balanced_SPEED25_T480,43,Payload capacity,0.0
C025_V03_CHG_broad_SPEED25_T480,43,Payload capacity,0.0
C025_V03_CHG_conservative_SPEED25_T480,43,Payload capacity,0.0
C025_V05_CHG_balanced_SPEED25_T480,43,Payload capacity,0.0
C025_V05_CHG_broad_SPEED25_T480,43,Payload capacity,0.0
C025_V05_CHG_conservative_SPEED25_T480,43,Payload capacity,0.0
C025_V01_CHG_balanced_SPEED25_T480,44,Payload capacity,0.0
C025_V01_CHG_broad_SPEED25_T480,44,Payload capacity,0.0
